	city	website	response_code	sitemap_url	sitemap_exists
67	Moers	https://www.Moers.de/	200	https://www.Moers.de/sitemap.xml	TRUE
68	Salzgitter	https://www.Salzgitter.de/	200	https://www.Salzgitter.de/sitemap.xml	FALSE
69	Siegen	https://www.Siegen.de/	200	https://www.Siegen.de/sitemap.xml	TRUE
70	Guetersloh	https://www.Guetersloh.de/	200	https://www.Guetersloh.de/sitemap.xml	FALSE
72	Hanau	https://www.Hanau.de/	200	https://www.Hanau.de/sitemap.xml	FALSE
73	Kaiserslautern	https://www.Kaiserslautern.de/	200	https://www.Kaiserslautern.de/sitemap.xml	TRUE
74	Schwerin	https://www.Schwerin.de/	200	https://www.Schwerin.de/sitemap.xml	FALSE
76	Ludwigsburg	https://www.Ludwigsburg.de/	200	https://www.Ludwigsburg.de/sitemap.xml	FALSE
77	Giessen	https://www.Giessen.de/	200	https://www.Giessen.de/sitemap.xml	TRUE
78	Gera	https://www.Gera.de/	200	https://www.Gera.de/sitemap.xml	TRUE
79	Dueren	https://www.Dueren.de/	200	https://www.Dueren.de/sitemap.xml	FALSE
80	Tuebingen	https://www.Tuebingen.de/	200	https://www.Tuebingen.de/sitemap.xml	FALSE
81	Flensburg	https://www.Flensburg.de/	200	https://www.Flensburg.de/sitemap.xml	TRUE
82	Iserlohn	https://www.Iserlohn.de/	200	https://www.Iserlohn.de/sitemap.xml	FALSE
83	Ratingen	https://www.Ratingen.de/	200	https://www.Ratingen.de/sitemap.xml	FALSE
84	Zwickau	https://www.Zwickau.de/	200	https://www.Zwickau.de/sitemap.xml	FALSE
85	Luenen	https://www.Luenen.de/	200	https://www.Luenen.de/sitemap.xml	FALSE
86	Konstanz	https://www.Konstanz.de/	200	https://www.Konstanz.de/sitemap.xml	FALSE
87	Worms	https://www.Worms.de/	200	https://www.Worms.de/sitemap.xml	FALSE
88	Marl	https://www.Marl.de/	200	https://www.Marl.de/sitemap.xml	FALSE
89	Minden	https://www.Minden.de/	200	https://www.Minden.de/sitemap.xml	TRUE
90	Velbert	https://www.Velbert.de/	200	https://www.Velbert.de/sitemap.xml	TRUE
92	Bamberg	https://www.Bamberg.de/	200	https://www.Bamberg.de/sitemap.xml	FALSE
93	Neumuenster	https://www.Neumuenster.de/	200	https://www.Neumuenster.de/sitemap.xml	FALSE
94	Delmenhorst	https://www.Delmenhorst.de/	200	https://www.Delmenhorst.de/sitemap.xml	FALSE
95	Viersen	https://www.Viersen.de/	200	https://www.Viersen.de/sitemap.xml	TRUE
96	Rheine	https://www.Rheine.de/	200	https://www.Rheine.de/sitemap.xml	TRUE
98	Lueneburg	https://www.Lueneburg.de/	200	https://www.Lueneburg.de/sitemap.xml	FALSE
99	Dorsten	https://www.Dorsten.de/	200	https://www.Dorsten.de/sitemap.xml	TRUE
100	Troisdorf	https://www.Troisdorf.de/	200	https://www.Troisdorf.de/sitemap.xml	FALSE
101	Wilhelmshaven	https://www.Wilhelmshaven.de/	200	https://www.Wilhelmshaven.de/sitemap.xml	FALSE
103	Landshut	https://www.Landshut.de/	200	https://www.Landshut.de/sitemap.xml	TRUE
